Index,Date,Weekday,Departure Time,Arrivel Time,Price
148,2017-11-03,Friday,2:00 pm,4:10 pm,$1
180,2017-11-06,Monday,2:00 pm,4:10 pm,$1
192,2017-11-07,Tuesday,3:30 pm,5:35 pm,$1
231,2017-11-11,Saturday,2:00 pm,4:10 pm,$1
274,2017-11-15,Wednesday,3:30 pm,5:35 pm,$1
280,2017-11-16,Thursday,9:50 am,12:10 pm,$1
414,2017-11-29,Wednesday,9:50 am,12:10 pm,$1
449,2017-12-02,Saturday,3:30 pm,5:35 pm,$1
478,2017-12-05,Tuesday,2:00 pm,4:10 pm,$1
480,2017-12-05,Tuesday,3:30 pm,5:35 pm,$1
488,2017-12-06,Wednesday,2:00 pm,4:10 pm,$1
498,2017-12-07,Thursday,2:00 pm,4:10 pm,$1
508,2017-12-08,Friday,2:00 pm,4:10 pm,$1
519,2017-12-09,Saturday,2:00 pm,4:10 pm,$1
521,2017-12-09,Saturday,3:30 pm,5:35 pm,$1
529,2017-12-10,Sunday,2:00 pm,4:10 pm,$1
531,2017-12-10,Sunday,3:30 pm,5:40 pm,$1
540,2017-12-11,Monday,2:00 pm,4:10 pm,$1
556,2017-12-13,Wednesday,7:30 am,9:40 am,$1
560,2017-12-13,Wednesday,2:00 pm,4:10 pm,$1
562,2017-12-13,Wednesday,3:30 pm,5:35 pm,$1
570,2017-12-14,Thursday,2:00 pm,4:10 pm,$1
572,2017-12-14,Thursday,3:30 pm,5:35 pm,$1
576,2017-12-15,Friday,7:30 am,9:40 am,$1
580,2017-12-15,Friday,2:00 pm,4:10 pm,$1
601,2017-12-17,Sunday,2:00 pm,4:10 pm,$1
603,2017-12-17,Sunday,3:30 pm,5:40 pm,$1
604,2017-12-17,Sunday,4:30 pm,6:45 pm,$1
622,2017-12-19,Tuesday,2:00 pm,4:10 pm,$1
632,2017-12-20,Wednesday,2:00 pm,4:10 pm,$1
634,2017-12-20,Wednesday,3:30 pm,5:35 pm,$1
642,2017-12-21,Thursday,2:00 pm,4:10 pm,$1
686,2017-12-25,Monday,2:00 pm,4:10 pm,$1
716,2017-12-28,Thursday,2:00 pm,4:10 pm,$1
737,2017-12-30,Saturday,2:00 pm,4:10 pm,$1
745,2017-12-31,Sunday,9:50 am,12:10 pm,$1
747,2017-12-31,Sunday,2:00 pm,4:10 pm,$1
764,2018-01-02,Tuesday,7:30 am,9:40 am,$1
768,2018-01-02,Tuesday,2:00 pm,4:10 pm,$1
778,2018-01-03,Wednesday,2:00 pm,4:10 pm,$1
780,2018-01-03,Wednesday,3:30 pm,5:35 pm,$1
798,2018-01-05,Friday,2:00 pm,4:10 pm,$1
805,2018-01-06,Saturday,7:30 am,9:40 am,$1
819,2018-01-07,Sunday,2:00 pm,4:10 pm,$1
828,2018-01-08,Monday,9:50 am,12:10 pm,$1
832,2018-01-08,Monday,3:30 pm,5:35 pm,$1
846,2018-01-10,Wednesday,7:30 am,9:40 am,$1
848,2018-01-10,Wednesday,9:50 am,12:10 pm,$1
850,2018-01-10,Wednesday,2:00 pm,4:10 pm,$1
856,2018-01-11,Thursday,7:30 am,9:40 am,$1
864,2018-01-11,Thursday,7:00 pm,9:19 pm,$1
891,2018-01-14,Sunday,2:00 pm,4:10 pm,$1
900,2018-01-15,Monday,9:50 am,12:10 pm,$1
902,2018-01-15,Monday,2:00 pm,4:10 pm,$1
904,2018-01-15,Monday,3:30 pm,5:35 pm,$1
908,2018-01-16,Tuesday,7:30 am,9:40 am,$1
912,2018-01-16,Tuesday,2:00 pm,4:10 pm,$1
920,2018-01-17,Wednesday,9:50 am,12:10 pm,$1
924,2018-01-17,Wednesday,3:30 pm,5:35 pm,$1
931,2018-01-18,Thursday,11:00 am,1:15 pm,$1
932,2018-01-18,Thursday,2:00 pm,4:10 pm,$1
951,2018-01-20,Saturday,9:50 am,12:10 pm,$1
957,2018-01-20,Saturday,7:00 pm,9:19 pm,$1
961,2018-01-21,Sunday,9:50 am,12:10 pm,$1
970,2018-01-22,Monday,7:30 am,9:40 am,$1
973,2018-01-22,Monday,11:00 am,1:15 pm,$1
976,2018-01-22,Monday,3:30 pm,5:35 pm,$1
980,2018-01-23,Tuesday,7:30 am,9:40 am,$1
982,2018-01-23,Tuesday,9:50 am,12:10 pm,$1
984,2018-01-23,Tuesday,2:00 pm,4:10 pm,$1
992,2018-01-24,Wednesday,9:50 am,12:10 pm,$1
993,2018-01-24,Wednesday,11:00 am,1:15 pm,$1
994,2018-01-24,Wednesday,2:00 pm,4:10 pm,$1
1000,2018-01-25,Thursday,7:30 am,9:40 am,$1
1002,2018-01-25,Thursday,9:50 am,12:10 pm,$1
1003,2018-01-25,Thursday,11:00 am,1:15 pm,$1
1004,2018-01-25,Thursday,2:00 pm,4:10 pm,$1
1006,2018-01-25,Thursday,3:30 pm,5:35 pm,$1
1012,2018-01-26,Friday,9:50 am,12:10 pm,$1
1021,2018-01-27,Saturday,7:30 am,9:40 am,$1
1023,2018-01-27,Saturday,9:50 am,12:10 pm,$1
1024,2018-01-27,Saturday,11:00 am,1:15 pm,$1
1025,2018-01-27,Saturday,2:00 pm,4:10 pm,$1
1033,2018-01-28,Sunday,9:50 am,12:10 pm,$1
1035,2018-01-28,Sunday,2:00 pm,4:10 pm,$1
1038,2018-01-28,Sunday,4:30 pm,6:45 pm,$1
1044,2018-01-29,Monday,9:50 am,12:10 pm,$1
1046,2018-01-29,Monday,2:00 pm,4:10 pm,$1
1048,2018-01-29,Monday,3:30 pm,5:35 pm,$1
1052,2018-01-30,Tuesday,7:30 am,9:40 am,$1
1055,2018-01-30,Tuesday,11:00 am,1:15 pm,$1
1056,2018-01-30,Tuesday,2:00 pm,4:10 pm,$1
1058,2018-01-30,Tuesday,3:30 pm,5:35 pm,$1
1062,2018-01-31,Wednesday,7:30 am,9:40 am,$1
1064,2018-01-31,Wednesday,9:50 am,12:10 pm,$1
1066,2018-01-31,Wednesday,2:00 pm,4:10 pm,$1
1068,2018-01-31,Wednesday,3:30 pm,5:35 pm,$1
1072,2018-02-01,Thursday,7:30 am,9:40 am,$1
1074,2018-02-01,Thursday,9:50 am,12:10 pm,$1
1075,2018-02-01,Thursday,11:00 am,1:15 pm,$1
1076,2018-02-01,Thursday,2:00 pm,4:10 pm,$1
1084,2018-02-02,Friday,9:50 am,12:10 pm,$1
1086,2018-02-02,Friday,2:00 pm,4:10 pm,$1
1093,2018-02-03,Saturday,7:30 am,9:40 am,$1
1095,2018-02-03,Saturday,9:50 am,12:10 pm,$1
1097,2018-02-03,Saturday,2:00 pm,4:10 pm,$1
1099,2018-02-03,Saturday,3:30 pm,5:35 pm,$1
1105,2018-02-04,Sunday,9:50 am,12:10 pm,$1
1110,2018-02-04,Sunday,4:30 pm,6:45 pm,$1
1114,2018-02-05,Monday,7:30 am,9:40 am,$1
1116,2018-02-05,Monday,9:50 am,12:10 pm,$1
1120,2018-02-05,Monday,3:30 pm,5:35 pm,$1
1126,2018-02-06,Tuesday,9:50 am,12:10 pm,$1
1128,2018-02-06,Tuesday,2:00 pm,4:10 pm,$1
1134,2018-02-07,Wednesday,7:30 am,9:40 am,$1
1136,2018-02-07,Wednesday,9:50 am,12:10 pm,$1
1138,2018-02-07,Wednesday,2:00 pm,4:10 pm,$1
1140,2018-02-07,Wednesday,3:30 pm,5:35 pm,$1
1144,2018-02-08,Thursday,7:30 am,9:40 am,$1
1147,2018-02-08,Thursday,11:00 am,1:15 pm,$1
1148,2018-02-08,Thursday,2:00 pm,4:10 pm,$1
1165,2018-02-10,Saturday,7:30 am,9:40 am,$1
1168,2018-02-10,Saturday,11:00 am,1:15 pm,$1
1169,2018-02-10,Saturday,2:00 pm,4:10 pm,$1
1171,2018-02-10,Saturday,3:30 pm,5:35 pm,$1
1179,2018-02-11,Sunday,2:00 pm,4:10 pm,$1
1186,2018-02-12,Monday,7:30 am,9:40 am,$1
1192,2018-02-12,Monday,3:30 pm,5:35 pm,$1
1196,2018-02-13,Tuesday,7:30 am,9:40 am,$1
1198,2018-02-13,Tuesday,9:50 am,12:10 pm,$1
1200,2018-02-13,Tuesday,2:00 pm,4:10 pm,$1
1202,2018-02-13,Tuesday,3:30 pm,5:35 pm,$1
1206,2018-02-14,Wednesday,7:30 am,9:40 am,$1
1208,2018-02-14,Wednesday,9:50 am,12:10 pm,$1
1210,2018-02-14,Wednesday,2:00 pm,4:10 pm,$1
1218,2018-02-15,Thursday,9:50 am,12:10 pm,$1
1220,2018-02-15,Thursday,2:00 pm,4:10 pm,$1
1228,2018-02-16,Friday,9:50 am,12:10 pm,$1
1229,2018-02-16,Friday,11:00 am,1:15 pm,$1
1240,2018-02-17,Saturday,11:00 am,1:15 pm,$1
1241,2018-02-17,Saturday,2:00 pm,4:10 pm,$1
1249,2018-02-18,Sunday,9:50 am,12:10 pm,$1
1251,2018-02-18,Sunday,2:00 pm,4:10 pm,$1
1253,2018-02-18,Sunday,3:30 pm,5:40 pm,$1
1254,2018-02-18,Sunday,4:30 pm,6:45 pm,$1
1264,2018-02-19,Monday,3:30 pm,5:35 pm,$1
1268,2018-02-20,Tuesday,7:30 am,9:40 am,$1
1272,2018-02-20,Tuesday,2:00 pm,4:10 pm,$1
