Index,Date,Weekday,Departure Time,Arrivel Time,Price
0,2017-10-20,Friday,7:30 am,9:40 am,$19
1,2017-10-20,Friday,7:30 am,9:40 am,$31
2,2017-10-20,Friday,9:50 am,12:10 pm,$16
3,2017-10-20,Friday,11:00 am,1:15 pm,$18
4,2017-10-20,Friday,2:00 pm,4:10 pm,$14
5,2017-10-20,Friday,2:00 pm,4:10 pm,$24
6,2017-10-20,Friday,3:30 pm,5:55 pm,$15
7,2017-10-20,Friday,3:30 pm,5:55 pm,$30
8,2017-10-20,Friday,4:30 pm,7:10 pm,$24
9,2017-10-20,Friday,7:00 pm,9:19 pm,$25
10,2017-10-20,Friday,7:00 pm,9:19 pm,$35
11,2017-10-21,Saturday,7:30 am,9:40 am,$17
12,2017-10-21,Saturday,7:30 am,9:40 am,$29
13,2017-10-21,Saturday,9:50 am,12:10 pm,$15
14,2017-10-21,Saturday,11:00 am,1:15 pm,$18
15,2017-10-21,Saturday,2:00 pm,4:10 pm,$14
16,2017-10-21,Saturday,2:00 pm,4:10 pm,$24
17,2017-10-21,Saturday,3:30 pm,5:35 pm,$15
18,2017-10-21,Saturday,3:30 pm,5:35 pm,$30
19,2017-10-21,Saturday,7:00 pm,9:19 pm,$25
20,2017-10-21,Saturday,7:00 pm,9:19 pm,$35
21,2017-10-22,Sunday,7:30 am,9:40 am,$17
22,2017-10-22,Sunday,7:30 am,9:40 am,$29
23,2017-10-22,Sunday,9:50 am,12:10 pm,$16
24,2017-10-22,Sunday,11:00 am,1:15 pm,$15
25,2017-10-22,Sunday,2:00 pm,4:10 pm,$14
26,2017-10-22,Sunday,2:00 pm,4:10 pm,$24
27,2017-10-22,Sunday,7:00 pm,9:19 pm,$25
28,2017-10-22,Sunday,7:00 pm,9:19 pm,$35
29,2017-10-23,Monday,7:30 am,9:40 am,$17
30,2017-10-23,Monday,7:30 am,9:40 am,$29
31,2017-10-23,Monday,9:50 am,12:10 pm,$16
32,2017-10-23,Monday,11:00 am,1:15 pm,$18
33,2017-10-23,Monday,2:00 pm,4:10 pm,$14
34,2017-10-23,Monday,2:00 pm,4:10 pm,$24
35,2017-10-23,Monday,3:30 pm,5:35 pm,$15
36,2017-10-23,Monday,3:30 pm,5:35 pm,$30
37,2017-10-23,Monday,3:30 pm,5:40 pm,$22
38,2017-10-23,Monday,4:30 pm,6:45 pm,$16
39,2017-10-23,Monday,4:30 pm,6:45 pm,$30
40,2017-10-23,Monday,7:00 pm,9:19 pm,$25
41,2017-10-23,Monday,7:00 pm,9:19 pm,$35
42,2017-10-24,Tuesday,7:30 am,9:40 am,$17
43,2017-10-24,Tuesday,7:30 am,9:40 am,$29
44,2017-10-24,Tuesday,9:50 am,12:10 pm,$16
45,2017-10-24,Tuesday,11:00 am,1:15 pm,$15
46,2017-10-24,Tuesday,2:00 pm,4:10 pm,$14
47,2017-10-24,Tuesday,2:00 pm,4:10 pm,$24
48,2017-10-24,Tuesday,3:30 pm,5:35 pm,$15
49,2017-10-24,Tuesday,3:30 pm,5:35 pm,$30
50,2017-10-24,Tuesday,7:00 pm,9:19 pm,$25
51,2017-10-24,Tuesday,7:00 pm,9:19 pm,$35
52,2017-10-25,Wednesday,7:30 am,9:40 am,$17
53,2017-10-25,Wednesday,7:30 am,9:40 am,$29
54,2017-10-25,Wednesday,9:50 am,12:10 pm,$15
55,2017-10-25,Wednesday,11:00 am,1:15 pm,$18
56,2017-10-25,Wednesday,2:00 pm,4:10 pm,$14
57,2017-10-25,Wednesday,2:00 pm,4:10 pm,$24
58,2017-10-25,Wednesday,3:30 pm,5:35 pm,$15
59,2017-10-25,Wednesday,3:30 pm,5:35 pm,$30
60,2017-10-25,Wednesday,7:00 pm,9:19 pm,$25
61,2017-10-25,Wednesday,7:00 pm,9:19 pm,$35
62,2017-10-26,Thursday,7:30 am,9:40 am,$17
63,2017-10-26,Thursday,7:30 am,9:40 am,$29
64,2017-10-26,Thursday,9:50 am,12:10 pm,$16
65,2017-10-26,Thursday,11:00 am,1:15 pm,$15
66,2017-10-26,Thursday,2:00 pm,4:10 pm,$14
67,2017-10-26,Thursday,2:00 pm,4:10 pm,$24
68,2017-10-26,Thursday,3:30 pm,5:35 pm,$15
69,2017-10-26,Thursday,3:30 pm,5:35 pm,$30
70,2017-10-26,Thursday,7:00 pm,9:19 pm,$25
71,2017-10-26,Thursday,7:00 pm,9:19 pm,$35
72,2017-10-27,Friday,7:30 am,9:40 am,$17
73,2017-10-27,Friday,7:30 am,9:40 am,$29
74,2017-10-27,Friday,9:50 am,12:10 pm,$16
75,2017-10-27,Friday,11:00 am,1:15 pm,$15
76,2017-10-27,Friday,2:00 pm,4:10 pm,$14
77,2017-10-27,Friday,2:00 pm,4:10 pm,$24
78,2017-10-27,Friday,3:30 pm,5:55 pm,$22
79,2017-10-27,Friday,3:30 pm,5:55 pm,$32
80,2017-10-27,Friday,4:30 pm,7:10 pm,$16
81,2017-10-27,Friday,7:00 pm,9:19 pm,$25
82,2017-10-27,Friday,7:00 pm,9:19 pm,$35
83,2017-10-28,Saturday,7:30 am,9:40 am,$17
84,2017-10-28,Saturday,7:30 am,9:40 am,$29
85,2017-10-28,Saturday,9:50 am,12:10 pm,$15
86,2017-10-28,Saturday,11:00 am,1:15 pm,$15
87,2017-10-28,Saturday,2:00 pm,4:10 pm,$14
88,2017-10-28,Saturday,2:00 pm,4:10 pm,$24
89,2017-10-28,Saturday,3:30 pm,5:35 pm,$15
90,2017-10-28,Saturday,3:30 pm,5:35 pm,$30
91,2017-10-28,Saturday,7:00 pm,9:19 pm,$25
92,2017-10-28,Saturday,7:00 pm,9:19 pm,$35
93,2017-10-29,Sunday,7:30 am,9:40 am,$17
94,2017-10-29,Sunday,7:30 am,9:40 am,$29
95,2017-10-29,Sunday,9:50 am,12:10 pm,$15
96,2017-10-29,Sunday,11:00 am,1:15 pm,$15
97,2017-10-29,Sunday,2:00 pm,4:10 pm,$14
98,2017-10-29,Sunday,2:00 pm,4:10 pm,$24
99,2017-10-29,Sunday,3:30 pm,5:40 pm,$22
100,2017-10-29,Sunday,4:30 pm,6:45 pm,$22
101,2017-10-29,Sunday,4:30 pm,6:45 pm,$32
102,2017-10-29,Sunday,7:00 pm,9:19 pm,$25
103,2017-10-29,Sunday,7:00 pm,9:19 pm,$35
104,2017-10-30,Monday,7:30 am,9:40 am,$17
105,2017-10-30,Monday,7:30 am,9:40 am,$29
106,2017-10-30,Monday,9:50 am,12:10 pm,$15
107,2017-10-30,Monday,11:00 am,1:15 pm,$15
