Index,Date,Weekday,Departure Time,Arrivel Time,Price
394,2017-12-15,Friday,7:30 am,5:00 pm,$1
548,2018-01-06,Saturday,7:30 am,5:00 pm,$1
574,2018-01-10,Wednesday,7:45 am,2:50 pm,$1
583,2018-01-11,Thursday,7:30 am,5:00 pm,$1
584,2018-01-11,Thursday,9:10 am,5:00 pm,$1
586,2018-01-11,Thursday,7:00 pm,Fri 2:54 am,$1
595,2018-01-13,Saturday,7:45 am,2:50 pm,$1
616,2018-01-16,Tuesday,7:45 am,2:50 pm,$1
618,2018-01-16,Tuesday,7:30 am,5:00 pm,$1
634,2018-01-18,Thursday,11:00 am,6:30 pm,$1
649,2018-01-20,Saturday,7:00 pm,Sun 2:54 am,$1
654,2018-01-21,Sunday,9:10 am,5:00 pm,$1
660,2018-01-22,Monday,7:30 am,5:00 pm,$1
662,2018-01-22,Monday,11:00 am,6:30 pm,$1
667,2018-01-23,Tuesday,7:30 am,5:00 pm,$1
668,2018-01-23,Tuesday,9:10 am,5:00 pm,$1
676,2018-01-24,Wednesday,11:00 am,6:30 pm,$1
681,2018-01-25,Thursday,7:30 am,5:00 pm,$1
683,2018-01-25,Thursday,11:00 am,6:30 pm,$1
693,2018-01-27,Saturday,7:45 am,2:50 pm,$1
697,2018-01-27,Saturday,11:00 am,6:30 pm,$1
714,2018-01-30,Tuesday,7:45 am,2:50 pm,$1
716,2018-01-30,Tuesday,7:30 am,5:00 pm,$1
718,2018-01-30,Tuesday,11:00 am,6:30 pm,$1
721,2018-01-31,Wednesday,7:45 am,2:50 pm,$1
723,2018-01-31,Wednesday,7:30 am,5:00 pm,$1
724,2018-01-31,Wednesday,9:10 am,5:00 pm,$1
728,2018-02-01,Thursday,7:45 am,2:50 pm,$1
732,2018-02-01,Thursday,11:00 am,6:30 pm,$1
