Index,Date,Weekday,Departure Time,Arrivel Time,Price
0,2017-10-20,Friday,7:45 am,2:50 pm,$30
1,2017-10-20,Friday,7:45 am,2:50 pm,$43
2,2017-10-20,Friday,7:30 am,5:00 pm,$33
3,2017-10-20,Friday,9:10 am,5:00 pm,$29
4,2017-10-20,Friday,11:00 am,6:30 pm,$28
5,2017-10-20,Friday,7:00 pm,Sat 2:54 am,$30
6,2017-10-20,Friday,7:00 pm,Sat 2:54 am,$44
7,2017-10-21,Saturday,7:45 am,2:50 pm,$30
8,2017-10-21,Saturday,7:45 am,2:50 pm,$43
9,2017-10-21,Saturday,7:30 am,5:00 pm,$31
10,2017-10-21,Saturday,9:10 am,5:00 pm,$29
11,2017-10-21,Saturday,11:00 am,6:30 pm,$28
12,2017-10-21,Saturday,7:00 pm,Sun 2:54 am,$30
13,2017-10-21,Saturday,7:00 pm,Sun 2:54 am,$44
14,2017-10-22,Sunday,7:45 am,2:50 pm,$26
15,2017-10-22,Sunday,7:45 am,2:50 pm,$39
16,2017-10-22,Sunday,7:30 am,5:00 pm,$31
17,2017-10-22,Sunday,9:10 am,5:00 pm,$29
18,2017-10-22,Sunday,11:00 am,6:30 pm,$23
19,2017-10-22,Sunday,7:00 pm,Mon 2:54 am,$30
20,2017-10-22,Sunday,7:00 pm,Mon 2:54 am,$44
21,2017-10-23,Monday,7:45 am,2:50 pm,$26
22,2017-10-23,Monday,7:45 am,2:50 pm,$39
23,2017-10-23,Monday,7:30 am,5:00 pm,$33
24,2017-10-23,Monday,9:10 am,5:00 pm,$29
25,2017-10-23,Monday,11:00 am,6:30 pm,$28
26,2017-10-23,Monday,7:00 pm,Tue 2:54 am,$30
27,2017-10-23,Monday,7:00 pm,Tue 2:54 am,$44
28,2017-10-24,Tuesday,7:45 am,2:50 pm,$26
29,2017-10-24,Tuesday,7:45 am,2:50 pm,$39
30,2017-10-24,Tuesday,7:30 am,5:00 pm,$31
31,2017-10-24,Tuesday,9:10 am,5:00 pm,$29
32,2017-10-24,Tuesday,11:00 am,6:30 pm,$23
33,2017-10-24,Tuesday,7:00 pm,Wed 2:54 am,$30
34,2017-10-24,Tuesday,7:00 pm,Wed 2:54 am,$44
35,2017-10-25,Wednesday,7:45 am,2:50 pm,$26
36,2017-10-25,Wednesday,7:45 am,2:50 pm,$39
37,2017-10-25,Wednesday,7:30 am,5:00 pm,$31
38,2017-10-25,Wednesday,9:10 am,5:00 pm,$29
39,2017-10-25,Wednesday,11:00 am,6:30 pm,$28
40,2017-10-25,Wednesday,7:00 pm,Thu 2:54 am,$30
41,2017-10-25,Wednesday,7:00 pm,Thu 2:54 am,$44
42,2017-10-26,Thursday,7:45 am,2:50 pm,$30
43,2017-10-26,Thursday,7:45 am,2:50 pm,$43
44,2017-10-26,Thursday,7:30 am,5:00 pm,$31
45,2017-10-26,Thursday,9:10 am,5:00 pm,$29
46,2017-10-26,Thursday,11:00 am,6:30 pm,$23
47,2017-10-26,Thursday,7:00 pm,Fri 2:54 am,$30
48,2017-10-26,Thursday,7:00 pm,Fri 2:54 am,$44
49,2017-10-27,Friday,7:45 am,2:50 pm,$26
50,2017-10-27,Friday,7:45 am,2:50 pm,$39
51,2017-10-27,Friday,7:30 am,5:00 pm,$31
52,2017-10-27,Friday,9:10 am,5:00 pm,$29
53,2017-10-27,Friday,11:00 am,6:30 pm,$23
54,2017-10-27,Friday,7:00 pm,Sat 2:54 am,$30
55,2017-10-27,Friday,7:00 pm,Sat 2:54 am,$44
56,2017-10-28,Saturday,7:45 am,2:50 pm,$26
57,2017-10-28,Saturday,7:45 am,2:50 pm,$39
58,2017-10-28,Saturday,7:30 am,5:00 pm,$31
59,2017-10-28,Saturday,9:10 am,5:00 pm,$29
60,2017-10-28,Saturday,11:00 am,6:30 pm,$23
61,2017-10-28,Saturday,7:00 pm,Sun 2:54 am,$30
62,2017-10-28,Saturday,7:00 pm,Sun 2:54 am,$44
63,2017-10-29,Sunday,7:45 am,2:50 pm,$26
64,2017-10-29,Sunday,7:45 am,2:50 pm,$39
65,2017-10-29,Sunday,7:30 am,5:00 pm,$33
66,2017-10-29,Sunday,9:10 am,5:00 pm,$29
67,2017-10-29,Sunday,11:00 am,6:30 pm,$23
68,2017-10-29,Sunday,7:00 pm,Mon 2:54 am,$30
69,2017-10-29,Sunday,7:00 pm,Mon 2:54 am,$44
70,2017-10-30,Monday,7:45 am,2:50 pm,$26
71,2017-10-30,Monday,7:45 am,2:50 pm,$39
72,2017-10-30,Monday,7:30 am,5:00 pm,$31
73,2017-10-30,Monday,9:10 am,5:00 pm,$29
74,2017-10-30,Monday,11:00 am,6:30 pm,$23
75,2017-10-30,Monday,7:00 pm,Tue 2:54 am,$30
76,2017-10-30,Monday,7:00 pm,Tue 2:54 am,$44
77,2017-10-31,Tuesday,7:45 am,2:50 pm,$30
78,2017-10-31,Tuesday,7:45 am,2:50 pm,$43
79,2017-10-31,Tuesday,7:30 am,5:00 pm,$31
80,2017-10-31,Tuesday,9:10 am,5:00 pm,$29
81,2017-10-31,Tuesday,11:00 am,6:30 pm,$23
82,2017-10-31,Tuesday,7:00 pm,Wed 2:54 am,$30
83,2017-10-31,Tuesday,7:00 pm,Wed 2:54 am,$44
84,2017-11-01,Wednesday,7:45 am,2:50 pm,$26
85,2017-11-01,Wednesday,7:45 am,2:50 pm,$39
86,2017-11-01,Wednesday,7:30 am,5:00 pm,$31
87,2017-11-01,Wednesday,9:10 am,5:00 pm,$29
88,2017-11-01,Wednesday,11:00 am,6:30 pm,$28
89,2017-11-01,Wednesday,7:00 pm,Thu 2:54 am,$30
90,2017-11-01,Wednesday,7:00 pm,Thu 2:54 am,$44
91,2017-11-02,Thursday,7:45 am,2:50 pm,$26
92,2017-11-02,Thursday,7:45 am,2:50 pm,$39
93,2017-11-02,Thursday,7:30 am,5:00 pm,$31
94,2017-11-02,Thursday,9:10 am,5:00 pm,$29
95,2017-11-02,Thursday,11:00 am,6:30 pm,$23
96,2017-11-02,Thursday,7:00 pm,Fri 2:54 am,$30
