Index,Date,Departure Time,Arrivel Time,Price
87,2017-09-27,9:50 am,2:15 pm,$1
264,2017-11-07,3:30 pm,7:10 pm,$1
298,2017-11-15,3:30 pm,7:10 pm,$1
301,2017-11-16,9:50 am,2:15 pm,$1
357,2017-11-29,9:50 am,2:15 pm,$1
371,2017-12-02,3:30 pm,7:10 pm,$1
384,2017-12-05,3:30 pm,7:10 pm,$1
401,2017-12-09,3:30 pm,7:10 pm,$1
405,2017-12-10,3:30 pm,7:44 pm,$1
418,2017-12-13,3:30 pm,7:10 pm,$1
422,2017-12-14,3:30 pm,7:10 pm,$1
435,2017-12-17,3:30 pm,7:44 pm,$1
436,2017-12-17,4:30 pm,8:15 pm,$1
448,2017-12-20,3:30 pm,7:10 pm,$1
494,2017-12-31,9:50 am,2:15 pm,$1
508,2018-01-03,3:30 pm,7:10 pm,$1
529,2018-01-08,9:50 am,2:15 pm,$1
530,2018-01-08,3:30 pm,7:10 pm,$1
536,2018-01-10,7:45 am,11:05 am,$1
537,2018-01-10,9:50 am,2:15 pm,$1
