Index,Date,Departure Time,Arrivel Time,Price
0,2017-09-07,7:45 am,11:05 am,$37
1,2017-09-07,9:50 am,2:15 pm,$33
2,2017-09-07,3:30 pm,7:10 pm,$33
3,2017-09-07,3:30 pm,7:10 pm,$43
4,2017-09-08,7:45 am,11:05 am,$39
5,2017-09-08,9:50 am,2:15 pm,$38
6,2017-09-08,3:30 pm,7:40 pm,$38
7,2017-09-08,3:30 pm,7:40 pm,$48
8,2017-09-08,4:30 pm,8:49 pm,$38
9,2017-09-09,7:45 am,11:05 am,$34
10,2017-09-09,9:50 am,2:15 pm,$33
11,2017-09-09,3:30 pm,7:10 pm,$24
12,2017-09-09,3:30 pm,7:10 pm,$34
13,2017-09-10,7:45 am,11:05 am,$34
14,2017-09-10,9:50 am,2:15 pm,$34
15,2017-09-10,3:30 pm,7:44 pm,$38
16,2017-09-10,4:30 pm,8:15 pm,$38
17,2017-09-10,4:30 pm,8:15 pm,$48
18,2017-09-11,7:45 am,11:05 am,$34
19,2017-09-11,9:50 am,2:15 pm,$24
20,2017-09-11,3:30 pm,7:10 pm,$24
21,2017-09-11,3:30 pm,7:10 pm,$34
22,2017-09-12,7:45 am,11:05 am,$26
23,2017-09-12,9:50 am,2:15 pm,$23
24,2017-09-12,3:30 pm,7:10 pm,$22
25,2017-09-12,3:30 pm,7:10 pm,$32
26,2017-09-13,7:45 am,11:05 am,$26
27,2017-09-13,9:50 am,2:15 pm,$23
28,2017-09-13,3:30 pm,7:10 pm,$22
29,2017-09-13,3:30 pm,7:10 pm,$32
30,2017-09-14,7:45 am,11:05 am,$26
31,2017-09-14,9:50 am,2:15 pm,$23
32,2017-09-14,3:30 pm,7:10 pm,$23
33,2017-09-14,3:30 pm,7:10 pm,$33
34,2017-09-15,7:45 am,11:05 am,$26
35,2017-09-15,9:50 am,2:15 pm,$25
36,2017-09-15,3:30 pm,7:40 pm,$38
37,2017-09-15,3:30 pm,7:40 pm,$48
38,2017-09-15,4:30 pm,8:49 pm,$38
39,2017-09-16,7:45 am,11:05 am,$26
40,2017-09-16,9:50 am,2:15 pm,$23
41,2017-09-16,3:30 pm,7:10 pm,$22
42,2017-09-16,3:30 pm,7:10 pm,$32
43,2017-09-17,7:45 am,11:05 am,$26
44,2017-09-17,9:50 am,2:15 pm,$24
45,2017-09-17,3:30 pm,7:44 pm,$33
46,2017-09-17,4:30 pm,8:15 pm,$33
47,2017-09-17,4:30 pm,8:15 pm,$43
48,2017-09-18,7:45 am,11:05 am,$32
49,2017-09-18,9:50 am,2:15 pm,$23
50,2017-09-18,3:30 pm,7:10 pm,$23
51,2017-09-18,3:30 pm,7:10 pm,$33
52,2017-09-19,7:45 am,11:05 am,$26
53,2017-09-19,9:50 am,2:15 pm,$23
54,2017-09-19,3:30 pm,7:10 pm,$22
55,2017-09-19,3:30 pm,7:10 pm,$32
56,2017-09-20,7:45 am,11:05 am,$26
57,2017-09-20,9:50 am,2:15 pm,$23
58,2017-09-20,3:30 pm,7:10 pm,$22
59,2017-09-20,3:30 pm,7:10 pm,$32
60,2017-09-21,7:45 am,11:05 am,$26
61,2017-09-21,9:50 am,2:15 pm,$24
62,2017-09-21,3:30 pm,7:10 pm,$23
63,2017-09-21,3:30 pm,7:10 pm,$33
64,2017-09-22,7:45 am,11:05 am,$26
65,2017-09-22,9:50 am,2:15 pm,$27
66,2017-09-22,3:30 pm,7:40 pm,$36
67,2017-09-22,3:30 pm,7:40 pm,$46
68,2017-09-22,4:30 pm,8:49 pm,$36
69,2017-09-23,7:45 am,11:05 am,$26
70,2017-09-23,9:50 am,2:15 pm,$25
71,2017-09-23,3:30 pm,7:10 pm,$24
72,2017-09-23,3:30 pm,7:10 pm,$34
73,2017-09-24,7:45 am,11:05 am,$26
74,2017-09-24,9:50 am,2:15 pm,$25
75,2017-09-24,3:30 pm,7:44 pm,$34
76,2017-09-24,4:30 pm,8:15 pm,$38
77,2017-09-24,4:30 pm,8:15 pm,$48
78,2017-09-25,7:45 am,11:05 am,$34
79,2017-09-25,9:50 am,2:15 pm,$25
80,2017-09-25,3:30 pm,7:10 pm,$24
81,2017-09-25,3:30 pm,7:10 pm,$34
82,2017-09-26,7:45 am,11:05 am,$26
83,2017-09-26,9:50 am,2:15 pm,$23
84,2017-09-26,3:30 pm,7:10 pm,$23
85,2017-09-26,3:30 pm,7:10 pm,$33
