Index,Date,Weekday,Departure Time,Arrivel Time,Price
0,2017-09-07,Thursday,8:15 am,12:14 pm,$36
1,2017-09-07,Thursday,8:15 am,12:14 pm,SOLD OUT
2,2017-09-07,Thursday,10:50 am,3:14 pm,$36
3,2017-09-07,Thursday,5:15 pm,8:20 pm,$29
4,2017-09-08,Friday,8:15 am,12:14 pm,$34
5,2017-09-08,Friday,8:15 am,12:14 pm,$44
6,2017-09-08,Friday,10:50 am,3:14 pm,$34
7,2017-09-08,Friday,5:15 pm,8:20 pm,$29
8,2017-09-08,Friday,6:05 pm,9:55 pm,$38
9,2017-09-09,Saturday,8:15 am,12:14 pm,$33
10,2017-09-09,Saturday,8:15 am,12:14 pm,$43
11,2017-09-09,Saturday,10:50 am,3:14 pm,$36
12,2017-09-09,Saturday,10:50 am,4:45 pm,$41
13,2017-09-09,Saturday,10:50 am,6:55 pm,$41
14,2017-09-09,Saturday,5:15 pm,8:20 pm,$29
15,2017-09-10,Sunday,8:15 am,12:14 pm,$34
16,2017-09-10,Sunday,8:15 am,12:14 pm,$44
17,2017-09-10,Sunday,10:50 am,3:14 pm,$38
18,2017-09-10,Sunday,10:50 am,4:45 pm,$41
19,2017-09-10,Sunday,4:25 pm,8:20 pm,$40
20,2017-09-10,Sunday,5:15 pm,8:20 pm,$29
21,2017-09-10,Sunday,4:25 pm,8:35 pm,$38
22,2017-09-11,Monday,8:15 am,12:14 pm,$33
23,2017-09-11,Monday,8:15 am,12:14 pm,$43
24,2017-09-11,Monday,10:50 am,3:14 pm,$33
25,2017-09-11,Monday,5:15 pm,8:20 pm,$29
26,2017-09-12,Tuesday,8:15 am,12:14 pm,$23
27,2017-09-12,Tuesday,8:15 am,12:14 pm,$33
28,2017-09-12,Tuesday,10:50 am,3:14 pm,$23
29,2017-09-12,Tuesday,5:15 pm,8:20 pm,$28
30,2017-09-13,Wednesday,8:15 am,12:14 pm,$22
31,2017-09-13,Wednesday,8:15 am,12:14 pm,$32
32,2017-09-13,Wednesday,10:50 am,3:14 pm,$23
33,2017-09-13,Wednesday,5:15 pm,8:20 pm,$28
34,2017-09-14,Thursday,8:15 am,12:14 pm,$22
35,2017-09-14,Thursday,8:15 am,12:14 pm,$32
36,2017-09-14,Thursday,10:50 am,3:14 pm,$23
37,2017-09-14,Thursday,5:15 pm,8:20 pm,$28
38,2017-09-15,Friday,8:15 am,12:14 pm,$24
39,2017-09-15,Friday,8:15 am,12:14 pm,$34
40,2017-09-15,Friday,10:50 am,3:14 pm,$25
41,2017-09-15,Friday,5:15 pm,8:20 pm,$29
42,2017-09-15,Friday,6:05 pm,9:55 pm,$34
43,2017-09-16,Saturday,8:15 am,12:14 pm,$22
44,2017-09-16,Saturday,8:15 am,12:14 pm,$32
45,2017-09-16,Saturday,10:50 am,3:14 pm,$22
46,2017-09-16,Saturday,5:15 pm,8:20 pm,$29
47,2017-09-17,Sunday,8:15 am,12:14 pm,$23
48,2017-09-17,Sunday,8:15 am,12:14 pm,$33
49,2017-09-17,Sunday,10:50 am,3:14 pm,$33
50,2017-09-17,Sunday,4:25 pm,8:20 pm,$37
51,2017-09-17,Sunday,5:15 pm,8:20 pm,$29
52,2017-09-17,Sunday,4:25 pm,8:35 pm,$36
53,2017-09-18,Monday,8:15 am,12:14 pm,$22
54,2017-09-18,Monday,8:15 am,12:14 pm,$32
55,2017-09-18,Monday,10:50 am,3:14 pm,$23
56,2017-09-18,Monday,5:15 pm,8:20 pm,$29
57,2017-09-19,Tuesday,8:15 am,12:14 pm,$1
58,2017-09-19,Tuesday,8:15 am,12:14 pm,$32
59,2017-09-19,Tuesday,10:50 am,3:14 pm,$23
60,2017-09-19,Tuesday,5:15 pm,8:20 pm,$28
61,2017-09-20,Wednesday,8:15 am,12:14 pm,$22
62,2017-09-20,Wednesday,8:15 am,12:14 pm,$32
63,2017-09-20,Wednesday,10:50 am,3:14 pm,$23
64,2017-09-20,Wednesday,5:15 pm,8:20 pm,$28
65,2017-09-21,Thursday,8:15 am,12:14 pm,$23
66,2017-09-21,Thursday,8:15 am,12:14 pm,$33
67,2017-09-21,Thursday,10:50 am,3:14 pm,$23
68,2017-09-21,Thursday,5:15 pm,8:20 pm,$29
69,2017-09-22,Friday,8:15 am,12:14 pm,$26
70,2017-09-22,Friday,8:15 am,12:14 pm,$36
71,2017-09-22,Friday,10:50 am,3:14 pm,$27
72,2017-09-22,Friday,5:15 pm,8:20 pm,$29
73,2017-09-22,Friday,6:05 pm,9:55 pm,$36
74,2017-09-23,Saturday,8:15 am,12:14 pm,$24
75,2017-09-23,Saturday,8:15 am,12:14 pm,$34
76,2017-09-23,Saturday,10:50 am,3:14 pm,$25
77,2017-09-23,Saturday,5:15 pm,8:20 pm,$29
78,2017-09-24,Sunday,8:15 am,12:14 pm,$24
79,2017-09-24,Sunday,8:15 am,12:14 pm,$34
80,2017-09-24,Sunday,10:50 am,3:14 pm,$24
81,2017-09-24,Sunday,4:25 pm,8:20 pm,$34
82,2017-09-24,Sunday,5:15 pm,8:20 pm,$29
83,2017-09-24,Sunday,4:25 pm,8:35 pm,$34
84,2017-09-25,Monday,8:15 am,12:14 pm,$24
85,2017-09-25,Monday,8:15 am,12:14 pm,$34
86,2017-09-25,Monday,10:50 am,3:14 pm,$24
87,2017-09-25,Monday,5:15 pm,8:20 pm,$29
88,2017-09-26,Tuesday,8:15 am,12:14 pm,$23
89,2017-09-26,Tuesday,8:15 am,12:14 pm,$33
90,2017-09-26,Tuesday,10:50 am,3:14 pm,$24
91,2017-09-26,Tuesday,5:15 pm,8:20 pm,$29
92,2017-09-27,Wednesday,8:15 am,12:14 pm,$24
93,2017-09-27,Wednesday,8:15 am,12:14 pm,$34
94,2017-09-27,Wednesday,10:50 am,3:14 pm,$24
95,2017-09-27,Wednesday,5:15 pm,8:20 pm,$29
96,2017-09-28,Thursday,8:15 am,12:14 pm,$24
97,2017-09-28,Thursday,8:15 am,12:14 pm,$34
98,2017-09-28,Thursday,10:50 am,3:14 pm,$24
99,2017-09-28,Thursday,5:15 pm,8:20 pm,$29
100,2017-09-29,Friday,8:15 am,12:14 pm,$26
101,2017-09-29,Friday,8:15 am,12:14 pm,$36
102,2017-09-29,Friday,10:50 am,3:14 pm,$27
103,2017-09-29,Friday,5:15 pm,8:20 pm,$29
104,2017-09-29,Friday,6:05 pm,9:55 pm,$36
105,2017-09-30,Saturday,8:15 am,12:14 pm,$24
106,2017-09-30,Saturday,8:15 am,12:14 pm,$34
107,2017-09-30,Saturday,10:50 am,3:14 pm,$25
108,2017-09-30,Saturday,5:15 pm,8:20 pm,$29
109,2017-10-01,Sunday,8:15 am,12:14 pm,$26
110,2017-10-01,Sunday,8:15 am,12:14 pm,$36
111,2017-10-01,Sunday,10:50 am,3:14 pm,$26
112,2017-10-01,Sunday,4:25 pm,8:20 pm,$34
113,2017-10-01,Sunday,5:15 pm,8:20 pm,$29
114,2017-10-01,Sunday,4:25 pm,8:35 pm,$36
115,2017-10-02,Monday,8:15 am,12:14 pm,$24
116,2017-10-02,Monday,8:15 am,12:14 pm,$34
117,2017-10-02,Monday,10:50 am,3:14 pm,$25
118,2017-10-02,Monday,5:15 pm,8:20 pm,$29
119,2017-10-03,Tuesday,8:15 am,12:14 pm,$24
120,2017-10-03,Tuesday,8:15 am,12:14 pm,$34
121,2017-10-03,Tuesday,10:50 am,3:14 pm,$25
122,2017-10-03,Tuesday,5:15 pm,8:20 pm,$29
123,2017-10-04,Wednesday,8:15 am,12:14 pm,$34
124,2017-10-04,Wednesday,8:15 am,12:14 pm,$44
